,Constract,O_Time,O_price,C_Time,C_price,Proportion,Cost,Volume,Stop loss,Lock in gain,Fee,Profit,Cash
1612,XLMUSDT,1533358800000.0,0.25817,1533394800000.0,0.23989,-1.0_0.3772,1000.0,0,0.2452615,0.28398700000000004,1.3504357593833518,-72.15649378316618,4125.197482889878
1613,BTCUSDT,1533369600000.0,7448.54,1533394800000.0,7069.97,-1.0_0.3772,1000.0,0,7076.112999999999,8193.394,1.3644226922323033,-52.18914807465624,3125.1974828898783
1614,XRPUSDT,1533369600000.0,0.44055,1533675600000.0,0.38934,0.75_0.3021,-944.3157174647159,0,0.46257750000000003,0.396495,1.2452042209437186,108.52305793174742,2180.920744422937
1615,IOTAUSDT,1533448800000.0,0.9347,1533596400000.0,0.8366,0.25_0.1091,-651.2681949040187,0,0.9814350000000001,0.84123,0.8639284770979372,67.48892261960066,5318.894216841832
1616,EOSUSDT,1533474000000.0,7.0162,1533700800000.0,6.3112,0.75_0.3021,-1000.0,0,7.3670100000000005,6.31458,1.329662780422451,99.15207947321908,4318.650104578264
1617,ETHUSDT,1533474000000.0,408.42,1533675600000.0,384.89,-0.25_0.1091,471.1497544586116,0,387.999,449.26200000000006,0.6406088541126606,-27.78461189610653,3847.8705452915315
1618,ETHUSDT,1533484800000.0,405.79,1533675600000.0,384.89,-1.0_0.3772,1000.0,0,385.5005,446.3690000000001,1.3639468690702086,-52.86841962591483,2847.5003501196525
1619,XRPUSDT,1533484800000.0,0.42976,1533596400000.0,0.4053,-0.75_0.3021,860.4250049236967,0,0.40827199999999997,0.472736,1.1703149507355444,-50.14182374735135,1987.173047692509
1620,ETHUSDT,1533492000000.0,404.86,1533679200000.0,378.09,-0.75_0.3021,600.4955413707405,0,384.617,445.34600000000006,0.812899740358037,-40.518639113214704,1386.8594569462557
1621,XRPUSDT,1533492000000.0,0.42865,1533596400000.0,0.4053,-0.75_0.3021,419.0892793011246,0,0.40721749999999995,0.471515,0.5707445541379237,-23.399940102210373,967.8971620285797
1622,ETHUSDT,1533495600000.0,405.83,1533675600000.0,384.89,-0.5_0.2116,204.85171677088707,0,385.53849999999994,446.413,0.2793934520354658,-10.849324086001333,763.1954115514638
1623,XRPUSDT,1533495600000.0,0.429,1533596400000.0,0.4053,-0.75_0.3021,230.60027971413845,0,0.40754999999999997,0.47190000000000004,0.3139227723912681,-13.053378784570928,532.5771078432651
