,Time,Realize,Unrealize,Gain/Loss,Cash,Total
2020/06/20 21:00:00,1592658000000,0,6935.088320730964,0,9.33232903351798,6944.420649764483
2020/06/20 22:00:00,1592661600000,0,6931.936728279234,0,9.33232903351798,6941.269057312752
2020/06/20 23:00:00,1592665200000,0,6946.505991952977,0,9.33232903351798,6955.838320986495
2020/06/21 00:00:00,1592668800000,106.69232475493945,6832.6441059971185,-7.1405113075584365,9.33232903351798,6948.668759785576
2020/06/21 01:00:00,1592672400000,0,6835.9861950397335,0,116.02465378845743,6952.010848828191
2020/06/21 02:00:00,1592676000000,0,6836.621826461495,0,116.02465378845743,6952.646480249953
2020/06/21 03:00:00,1592679600000,0,6848.87850643292,0,116.02465378845743,6964.903160221378
2020/06/21 04:00:00,1592683200000,0,6845.170888892765,0,116.02465378845743,6961.195542681223
2020/06/21 05:00:00,1592686800000,0,6843.903614563638,0,116.02465378845743,6959.928268352096
2020/06/21 06:00:00,1592690400000,0,6918.608610977796,0,50.42714433852835,6969.035755316325
2020/06/21 07:00:00,1592694000000,0,6910.3821496688615,0,50.42714433852835,6960.80929400739
2020/06/21 08:00:00,1592697600000,0,6907.944110967613,0,50.42714433852835,6958.371255306141
2020/06/21 09:00:00,1592701200000,24.36470466593375,6895.924542784315,2.201754150325685,50.42714433852835,6970.716391788777
2020/06/21 10:00:00,1592704800000,0,6892.466773170528,0,74.79184900446211,6967.25862217499
2020/06/21 11:00:00,1592708400000,0,6910.499129417279,0,74.79184900446211,6985.290978421741
2020/06/21 12:00:00,1592712000000,0,6906.546197259948,0,74.79184900446211,6981.33804626441
2020/06/21 13:00:00,1592715600000,0,6935.671219053684,0,46.57700935405249,6982.248228407736
2020/06/21 14:00:00,1592719200000,0,6951.75141777405,0,29.006072576679646,6980.75749035073
2020/06/21 15:00:00,1592722800000,0,6962.396449584494,0,20.24350426277637,6982.639953847271
2020/06/21 16:00:00,1592726400000,0,6961.002513116937,0,12.606746590124864,6973.609259707062
2020/06/21 17:00:00,1592730000000,0,6953.076961169837,0,12.606746590124864,6965.683707759962
2020/06/21 18:00:00,1592733600000,0,6955.764099748415,0,11.23161713392182,6966.995716882337
2020/06/21 19:00:00,1592737200000,0,6949.524232822153,0,11.23161713392182,6960.755849956075
2020/06/21 20:00:00,1592740800000,0,6951.538784563519,0,11.23161713392182,6962.77040169744
2020/06/21 21:00:00,1592744400000,0,6954.609044851909,0,11.23161713392182,6965.840661985831
2020/06/21 22:00:00,1592748000000,0,6953.089054925671,0,11.23161713392182,6964.320672059593
2020/06/21 23:00:00,1592751600000,0,6949.155152682916,0,11.23161713392182,6960.386769816838
2020/06/22 00:00:00,1592755200000,0,6954.371043274539,0,11.23161713392182,6965.602660408461
2020/06/22 01:00:00,1592758800000,0,6954.937794026826,0,11.23161713392182,6966.169411160748
2020/06/22 02:00:00,1592762400000,0,6967.635851707778,0,7.8386099575306725,6975.474461665309
2020/06/22 03:00:00,1592766000000,0,6954.391508629776,0,7.8386099575306725,6962.230118587307
2020/06/22 04:00:00,1592769600000,0,6951.81922136486,0,7.8386099575306725,6959.657831322391
2020/06/22 05:00:00,1592773200000,0,6946.274019245084,0,7.8386099575306725,6954.112629202615
2020/06/22 06:00:00,1592776800000,0,6952.902930973587,0,7.8386099575306725,6960.741540931118
2020/06/22 07:00:00,1592780400000,0,6951.054827566314,0,7.8386099575306725,6958.893437523845
2020/06/22 08:00:00,1592784000000,0,6954.617722705699,0,7.8386099575306725,6962.45633266323
2020/06/22 09:00:00,1592787600000,0,6959.049340110574,0,7.8386099575306725,6966.887950068105
2020/06/22 10:00:00,1592791200000,0,6954.721554875425,0,7.8386099575306725,6962.560164832956
2020/06/22 11:00:00,1592794800000,0,6949.398029725225,0,7.8386099575306725,6957.236639682756
2020/06/22 12:00:00,1592798400000,0,6949.797333741912,0,7.8386099575306725,6957.635943699443
2020/06/22 13:00:00,1592802000000,163.6347395140591,6780.376600006866,-9.572741417899708,7.8386099575306725,6951.849949478456
2020/06/22 14:00:00,1592805600000,0,6782.315282675214,0,171.47334947158978,6953.788632146804
